start,end,DOMESTIC_HOT_WATER.CONSUMED_ELECTRICAL_ENERGY,HEATING.CONSUMED_ELECTRICAL_ENERGY,DOMESTIC_HOT_WATER.EARNED_ENVIRONMENT_ENERGY,HEATING.EARNED_ENVIRONMENT_ENERGY,DOMESTIC_HOT_WATER.HEAT_GENERATED,HEATING.HEAT_GENERATED
2025-02-13T11:00,2025-02-13T12:00,0.0,593.3401851314743,0.0,1157.910896847758,0.0,1689.5066849926047
2025-02-13T12:00,2025-02-13T13:00,0.0,641.6751299215412,0.0,1061.5329357394367,0.0,1634.3324910855667
2025-02-13T13:00,2025-02-13T14:00,0.0,460.75583846830983,0.0,837.8042165492958,0.0,1242.463468309859
2025-02-13T14:00,2025-02-13T15:00,0.0,750.0893744106254,0.0,1380.313155625176,0.0,1931.4708004787383
2025-02-13T15:00,2025-02-13T16:00,0.0,458.6442224481758,0.0,734.1561452318281,0.0,1135.073256031972
2025-02-13T16:00,2025-02-13T17:00,0.0,777.4889103584603,0.0,1440.0801784331977,0.0,2143.561208420731
2025-02-13T17:00,2025-02-13T18:00,0.0,644.607873696816,0.0,1011.5190893884014,0.0,1585.3755371231334
2025-02-13T18:00,2025-02-13T19:00,0.0,629.4697136839775,0.0,993.2013419273035,0.0,1550.9027014652015
2025-02-13T19:00,2025-02-13T20:00,0.0,657.4422760862514,0.0,1220.469146238377,0.0,1812.1221823048747
2025-02-13T20:00,2025-02-13T21:00,0.0,646.7591204344174,0.0,976.6410639903145,0.0,1549.1962747428108
2025-02-13T21:00,2025-02-13T22:00,0.0,601.7699723204321,0.0,898.8542419771874,0.0,1429.9245631783108
2025-02-13T22:00,2025-02-13T23:00,0.0,279.03438603453446,0.0,423.3379960392286,0.0,639.4038828064214
2025-02-13T23:00,2025-02-14T00:00,0.0,543.4967784443347,0.0,1045.784502090204,0.0,1400.9124383802816
2025-02-14T00:00,2025-02-14T01:00,0.0,387.58352044590026,0.0,734.6953966774017,0.0,956.2598170383246
2025-02-14T01:00,2025-02-14T02:00,0.0,361.44465870667796,0.0,638.5210748589168,0.0,918.1218300929839
2025-02-14T02:00,2025-02-14T03:00,0.0,597.2303456243084,0.0,1114.0488400455338,0.0,1500.6772543981158
2025-02-14T03:00,2025-02-14T04:00,0.0,457.24827322946425,0.0,852.1974704108231,0.0,1136.0849718042925
2025-02-14T04:00,2025-02-14T05:00,72.85214034763314,395.3222209495325,142.49257262323943,769.8468388012686,211.10809776628523,1079.8181279872017
2025-02-14T05:00,2025-02-14T06:00,513.1771015097613,483.89881978632144,774.3377546641567,909.1902080146064,1262.7234724361797,1233.1547887323945
